,name,birth_year,weight,height,nationality,cyclist_id
89,Jorge  Azanza,1982.0,68.0,185.0,Spain,jorge-azanza
90,Valentin  Dorronsoro,1959.0,,,Spain,valentin-dorronsoro
91,Eddy  Verstraeten,1948.0,,,Belgium,eddy-verstraeten
92,Peter  Mazur,1982.0,73.0,177.0,Poland,peter-mazur
93,Paulo José dos Santos  Ferreira,1962.0,,,Portugal,paulo-jose-dos-santos-ferreira
94,Wim  Omloop,1971.0,,,Belgium,wim-omloop
95,Sascha  Henrix,1973.0,,,Germany,sascha-henrix
96,Manuele  Tarozzi,1998.0,,,Italy,manuele-tarozzi
97,Einer  Rubio,1998.0,56.0,164.0,Colombia,einer-rubio
98,Roy  Knickman,1965.0,,,United States,roy-knickman
99,Alberto  Minetti,1957.0,69.0,181.0,Italy,alberto-minetti
100,Luigi Della Bianca,1972.0,,,Italy,luigi-della-bianca
101,Jannes  Slendebroek,1959.0,,,Netherlands,jannes-slendebroek
102,Primož  Čerin,1962.0,,,Yugoslavia,primoz-cerin
103,Santiago  Pérez,1977.0,61.0,179.0,Spain,santiago-perez
104,Francisco  León,1973.0,,,Spain,francisco-leon
105,Rein  Taaramäe,1987.0,68.0,186.0,Estonia,rein-taaramae
106,Anselmo  Fuerte,1962.0,,,Spain,anselmo-fuerte-abelenda
107,Sébastien  Chavanel,1981.0,77.0,183.0,France,sebastien-chavanel
108,Andrei  Nechita,1988.0,71.0,183.0,Romania,andrei-nechita
109,Tadej  Pogačar,1998.0,66.0,176.0,Slovenia,tadej-pogacar
110,Jay  Sweet,1975.0,69.0,175.0,Australia,jay-sweet
111,Nic  Hamilton,1986.0,,,Canada,nic-hamilton
112,Enrico  Barbin,1990.0,60.0,166.0,Italy,enrico-barbin
113,Alain Van Den Bossche,1965.0,,,Belgium,alain-van-den-bossche
114,Mario de Sárraga,1980.0,69.0,,Spain,mario-de-sarraga
115,Hubert  Arbès,1950.0,,,France,hubert-arbes
116,Kevin  Seeldraeyers,1986.0,60.0,174.0,Belgium,kevin-seeldraeyers
117,Peter Van De Knoop,1957.0,,,Netherlands,peter-van-de-knoop
118,Daniele  Righi,1976.0,70.0,180.0,Italy,daniele-righi
119,Felix  Gall,1998.0,66.0,180.0,Austria,felix-gall
120,Jordi  Meeus,1998.0,80.0,190.0,Belgium,jordi-meeus
121,Louis de Koning,1967.0,,,Netherlands,louis-de-koning
122,Harm  Ottenbros,1943.0,,,Netherlands,harm-ottenbros
123,Stephan  Joho,1963.0,,,Switzerland,stephan-joho
124,Andre  Carvalho,1997.0,66.0,181.0,Portugal,andre-carvalho
125,Miroslav  Uryga,1962.0,,,Poland,miroslav-uryga
126,Luis Ricardo  Mesa,1973.0,,,Colombia,luis-ricardo-mesa-saavedra
127,Joseba  López,2000.0,66.0,182.0,Spain,joseba-lopez-cuesta
128,Marco  Villa,1969.0,,,Italy,marco-villa
129,Jacques  Jolidon,1969.0,,,Switzerland,jacques-jolidon
130,Dirk  Wayenberg,1955.0,,,Belgium,dirk-wayenberg
131,Emīls  Liepiņš,1992.0,67.0,175.0,Latvia,emils-liepins
132,José Salvador  Sanchis,1963.0,,,Spain,jose-salvador-sanchis
133,Giulio  Tomi,1978.0,,,Italy,giulio-tomi
134,Vladimir  Karpets,1980.0,79.0,190.0,Russia,vladimir-karpets
135,Tom  Wirtgen,1996.0,77.0,190.0,Luxembourg,tom-wirtgen
136,Eric  Berthou,1980.0,72.0,187.0,France,eric-berthou
137,Martín Emilio  Rodríguez,1942.0,70.0,178.0,Colombia,martin-emilio-rodriguez
138,Claudio  Cerri,1960.0,,,Italy,claudio-cerri
139,Benoît  Joachim,1976.0,82.0,188.0,Luxembourg,benoit-joachim
140,Salvatore  Scamardella,1979.0,,,Italy,salvatore-scamardella
141,Florian  Guillou,1982.0,71.0,195.0,France,florian-guillou
142,David  Muñoz,1979.0,,,Spain,david-munoz
143,Jos De Schoenmaecker,1947.0,,,Belgium,jos-de-schoenmaecker
144,André  Dierickx,1947.0,74.0,180.0,Belgium,andre-dierickx
145,Claude  Criquielion,1957.0,,,Belgium,claude-criquielion
146,Stef  Clement,1982.0,66.0,181.0,Netherlands,stef-clement
147,Gösta  Pettersson,1940.0,75.0,189.0,Sweden,gosta-pettersson
148,Silvano  Lorenzon,1964.0,,,Italy,silvano-lorenzon
149,Koen  Beeckman,1973.0,66.0,177.0,Belgium,koen-beeckman
150,Roberto  Torres,1964.0,,,Spain,roberto-torres
151,Darren  Lill,1982.0,,,South Africa,darren-lill
152,Claudio  Camin,1970.0,,,Italy,claudio-camin
153,Kurt  Verleden,1963.0,,,Belgium,kurt-verleden
154,Daniel  Musiol,1983.0,70.0,182.0,Germany,daniel-musiol
155,Michel  Lafis,1967.0,78.0,185.0,Sweden,michel-lafis
156,Hugo  Page,2001.0,71.0,185.0,France,hugo-page
157,Axel  Mariault,1998.0,58.0,169.0,France,axel-mariault
158,Maurizio  Vandelli,1964.0,,,Italy,maurizio-vandelli
159,Maciej  Bodnar,1985.0,77.0,186.0,Poland,maciej-bodnar
160,Yecid Arturo  Sierra,1994.0,66.0,184.0,Colombia,yecid-sierra
161,Edgar-humberto  Ruiz,1971.0,,,Colombia,edgar-humberto-ruiz
162,Laurens De Vreese,1988.0,78.0,190.0,Belgium,laurens-de-vreese
163,Harald  Maier,1960.0,,,Austria,harald-maier
164,Marco  Brenner,2002.0,59.0,181.0,Germany,marco-brenner
165,Tony  Martin,1985.0,75.0,185.0,Germany,tony-martin
166,Jakub  Kaczmarek,1993.0,66.0,181.0,Poland,jakub-kaczmarek
167,Filippo  Zana,1999.0,65.0,185.0,Italy,filippo-zana
168,Miguel Ángel  Peña,1970.0,,,Spain,miguel-angel-pena
169,Robert  Alban,1952.0,,,France,robert-alban
170,Matteo  Bono,1983.0,60.0,171.0,Italy,matteo-bono
171,Antonio  Coll,1959.0,,,Spain,antonio-coll
172,José Manuel  Mesa,1944.0,,,Spain,manuel-mesa
173,Igor  Antón,1983.0,64.0,173.0,Spain,igor-anton
174,Raymond  Kreder,1989.0,70.0,177.0,Netherlands,raymond-kreder
175,Pierre  Gautherat,2003.0,70.0,177.0,France,pierre-gautherat
176,Cees  Jeurissen,1976.0,,,Netherlands,cees-jeurissen
177,Anthony  Roux,1987.0,73.0,188.0,France,anthony-roux
178,Willy In 't Ven,1943.0,,,Belgium,willy-in-t-ven
179,Dmitry  Nelyubin,1971.0,,,Russia,dmitry-nelyubin
180,Sebastian  Schönberger,1994.0,64.0,181.0,Austria,sebastian-schonberger
181,Ennio  Salvador,1960.0,,,Italy,ennio-salvador
182,Pierrick  Fédrigo,1978.0,66.0,172.0,France,pierrick-fedrigo
183,Valerio  Tebaldi,1965.0,,,Italy,valerio-tebaldi
184,Marlon Alirio  Pérez,1976.0,68.0,175.0,Colombia,marlon-alirio-perez-arango
185,Giampaolo  Cheula,1979.0,62.0,178.0,Italy,giampaolo-cheula
186,Ángel  Madrazo,1988.0,61.0,171.0,Spain,angel-madrazo
187,Antonio  Tiberi,2001.0,62.0,182.0,Italy,antonio-tiberi
188,Vincent  Lavenu,1956.0,,,France,vincent-lavenu
189,Jacky  Coene,1946.0,,,Belgium,jacky-coene
190,Gorazd  Štangelj,1973.0,70.0,182.0,Slovenia,gorazd-stangelj
191,Théo  Verschueren,1943.0,,,Belgium,theo-verschueren
192,Arvis  Piziks,1969.0,70.0,176.0,Latvia,arvis-piziks
193,Markus  Eichler,1982.0,78.0,185.0,Germany,markus-eichler
194,Torsten  Hiekmann,1980.0,70.0,183.0,Germany,torsten-hiekmann
195,Jelle  Vanendert,1985.0,62.0,184.0,Belgium,jelle-vanendert
196,Sven  Vandousselaere,1988.0,71.0,181.0,Belgium,sven-vandousselaere
197,Jean-Pierre  Berckmans,1948.0,,,Belgium,jean-pierre-berckmans
198,Pierino  Primavera,1945.0,,,Italy,pierino-primavera
199,Cristian  Zanolini,1968.0,,,Italy,cristian-zanolini
200,Maurizio  Fondriest,1965.0,70.0,182.0,Italy,maurizio-fondriest
201,Iban  Sastre,1977.0,,,Spain,iban-sastre-estevez
202,Fausto  Dotti,1968.0,,,Italy,fausto-dotti
203,Fabio  Sacchi,1974.0,68.0,183.0,Italy,fabio-sacchi
204,Pascal  Eenkhoorn,1997.0,70.0,185.0,Netherlands,pascal-eenkhoorn
205,Jean  Zen,1981.0,,,France,jean-zen
206,John Van Asten,1960.0,,,Netherlands,john-van-asten
207,Stefan  Schumacher,1981.0,71.0,183.0,Germany,stefan-schumacher
208,Mauro  Simonetti,1948.0,,,Italy,mauro-simonetti
209,Chris  Wherry,1973.0,,,United States,chris-wherry
210,Eladio  Ambite,1970.0,,,Spain,eladio-ambite
211,Daniele  Pietropolli,1980.0,61.0,174.0,Italy,daniele-pietropolli
212,Christian  Meier,1985.0,61.0,172.0,Canada,christian-meier
