,name,birth_year,weight,height,nationality,cyclist_id
1616,Mika  Heming,2000.0,68.0,184.0,Germany,mika-heming
1617,Vicente  Aparicio,1969.0,,,Spain,vicente-aparicio
1618,Iker  Camaño,1979.0,68.0,184.0,Spain,iker-camano
1619,Ronny  Scholz,1978.0,60.0,176.0,Germany,ronny-scholz
1620,Andrea  Paluan,1966.0,,,Italy,andrea-paluan
1621,Anthony  Langella,1974.0,76.0,188.0,France,anthony-langella
1622,Chris  Lillywhite,1966.0,,,Great Britain,chris-lillywhite
1623,Ivan  Savitskiy,1992.0,72.0,182.0,Russia,ivan-savitskiy
1624,Francisco  Mancebo,1976.0,64.0,175.0,Spain,francisco-mancebo
1625,Freddy  Decloedt,1944.0,,,Belgium,freddy-decloedt
1626,Jørgen Bo  Petersen,1970.0,,,Denmark,jorgen-bo-petersen
1627,Mirco  Lorenzetto,1981.0,71.0,175.0,Italy,mirco-lorenzetto
1628,Thomas  Liese,1968.0,75.0,180.0,Germany,thomas-liese
1629,Pablo  Torres,1987.0,63.5,174.0,Spain,pablo-torres
1630,Tejay van Garderen,1988.0,72.0,186.0,United States,tejay-van-garderen
1631,Paul  Haghedooren,1959.0,,,Belgium,paul-haghedooren
1632,Charly  Grosskost,1944.0,,,France,charly-grosskost
1633,Romain  Grégoire,2003.0,64.0,176.0,France,romain-gregoire1
1634,Jimmy  Duquennoy,1995.0,75.0,179.0,Belgium,jimmy-duquennoy
1635,Maurizio  Tomi,1968.0,,,Italy,maurizio-tomi
1636,Jasper  Stuyven,1992.0,78.0,187.0,Belgium,jasper-stuyven
1637,Sean  Bennett,1996.0,66.0,178.0,United States,sean-bennett
1638,Marek  Rutkiewicz,1981.0,66.0,182.0,Poland,marek-rutkiewicz
1639,Sergey  Firsanov,1982.0,58.0,172.0,Russia,sergey-firsanov
1640,Rui  Sousa,1976.0,59.0,171.0,Portugal,rui-miguel-sousa-barbosa
1641,Scott  Stewart,1987.0,,,United States,scott-stewart
1642,Gustavo  Rodríguez,1979.0,,,Spain,gustavo-rodriguez-iglesias
1643,Jose Luis  Faura,2000.0,,,Spain,jose-luis-faura-asensio
1644,Xandres  Vervloesem,2000.0,65.0,185.0,Belgium,xandres-vervloesem
1645,José  Nazabal,1951.0,,,Spain,jose-nazabal-mimendia
1646,Marco  Zanotti,1974.0,70.0,180.0,Italy,marco-zanotti-1
1647,Fabian  Jeker,1968.0,72.0,177.0,Switzerland,fabian-jeker
1648,Jan  Hruška,1975.0,62.0,174.0,Czech Republic,jan-hruska
1649,William  Walker,1985.0,,,Australia,william-walker
1650,Amaël  Moinard,1982.0,69.0,180.0,France,amael-moinard
1651,Nicolas  Dalla Valle,1997.0,73.0,,Italy,nicolas-dalla-valle
1652,Brent  Bookwalter,1984.0,70.0,180.0,United States,brent-bookwalter
1653,Pedro  Merino,1987.0,55.0,170.0,Spain,pedro-merino-criado
1654,Pierino  Gavazzi,1950.0,67.0,169.0,Italy,pierino-gavazzi
1655,Marco  Milesi,1970.0,78.0,191.0,Italy,marco-milesi
1656,Fabian  Fuchs,1961.0,,,Switzerland,fabian-fuchs
1657,Arkaitz  Durán,1986.0,70.0,185.0,Spain,arkaitz-duran
1658,Matvey  Mamykin,1994.0,62.0,179.0,Russia,matvey-mamykin
1659,Piet  Kleine,1951.0,86.0,188.0,Netherlands,piet-kleine
1660,Juan Carlos  Domínguez,1971.0,64.0,178.0,Spain,juan-carlos-dominguez
1661,Dermot  Nally,1980.0,,,Ireland,dermot-nally
1662,Meinrad  Vögele,1949.0,,,Switzerland,meinrad-vogele
1663,Jimmy  Turgis,1991.0,63.0,175.0,France,jimmy-turgis
1664,Daan  Olivier,1992.0,64.0,188.0,Netherlands,daan-olivier
1665,Jan Van Tilborg,1953.0,,,Netherlands,jan-tilborg
1666,Alberto  Vinale,1978.0,,,Italy,alberto-vinale
1667,Aldo  Donadello,1953.0,,,Italy,aldo-donadello
1668,Edoardo  Zardini,1989.0,62.0,173.0,Italy,edoardo-zardini
1669,Robert  Sassone,1978.0,75.0,181.0,France,robert-sassone
1670,Maxim  Gourov,1979.0,75.0,189.0,Kazakhstan,maxim-gourov
1671,Dirk  Müller,1973.0,,,Germany,dirk-muller
1672,Matej  Jurčo,1984.0,69.0,186.0,Slovakia,matej-jurco
1673,Maxim  Smirnov,1976.0,,,Russia,maxim-smirnov
1674,Adrián  Palomares,1976.0,56.0,165.0,Spain,adrian-palomares
1675,Yves  Bonnamour,1961.0,,,France,yves-bonnamour
1676,Pierangelo  Bincoletto,1959.0,,,Italy,pierangelo-bincoletto
1677,Samuel  Watson,2001.0,68.0,186.0,Great Britain,samuel-watson
1678,Eelke van der Wal,1981.0,,,Netherlands,eelke-van-der-wal
1679,Ger  Harings,1948.0,,,Netherlands,ger-harings
1680,Michael  Rosborg,1971.0,,,Denmark,michael-rosborg
1681,Andreas  Stauff,1987.0,82.0,192.0,Germany,andreas-stauff
1682,Geert  Verheyen,1973.0,68.0,178.0,Belgium,geert-verheyen
1683,Willy  Sprangers,1954.0,,,Belgium,willy-sprangers
1684,Carlos  Melero,1948.0,,,Spain,carlos-melero
1685,Kévin  Vauquelin,2001.0,69.0,176.0,France,kevin-vauquelin
1686,Giancarlo  Casiraghi,1956.0,,,Italy,giancarlo-casiraghi
1687,Johan van der Velde,1956.0,,,Netherlands,johan-van-der-velde
1688,Donald  Allan,1949.0,73.0,180.0,Australia,don-allan
1689,Francisco  Galdos,1947.0,,,Spain,francisco-galdos
1690,Jorge Martín  Montenegro,1983.0,,,Spain,jorge-martin-montenegro
1691,David  Belda,1983.0,53.0,163.0,Spain,david-belda
1692,René  Pijnen,1946.0,72.0,175.0,Netherlands,rene-pijnen
1693,Oliver  Zaugg,1981.0,58.0,167.0,Switzerland,oliver-zaugg
1694,Jure  Kocjan,1984.0,72.0,182.0,Slovenia,jure-kocjan
1695,Michel  Bibollet,1963.0,,,France,michel-bibollet
1696,Lucien Van Impe,1946.0,59.0,167.0,Belgium,lucien-van-impe
1697,Riccardo  Forconi,1970.0,71.0,184.0,Italy,riccardo-forconi
1698,Antonio  Esparza,1962.0,,,Spain,antonio-esparza
1699,Peter  Roes,1964.0,,,Belgium,peter-roes
1700,Santiago  Lazcano,1947.0,,,Spain,santiago-laczano
1701,Guido  Beyens,1955.0,,,Belgium,guido-beyens
1702,Luca  Covili,1997.0,58.0,180.0,Italy,luca-covili
1703,Laurent  Roux,1972.0,,,France,laurent-roux
1704,Steven  Tronet,1986.0,67.0,175.0,France,steven-tronet
1705,Nick  Nuyens,1980.0,68.0,177.0,Belgium,nick-nuyens
1706,Antonio  Sobrino,1956.0,,,Spain,antonio-sobrino
1707,Davide  Ricci Bitti,1984.0,60.0,180.0,Italy,davide-ricci-bitti
1708,Donato  Cannone,1982.0,75.0,186.0,Italy,donato-cannone
1709,Fredrik  Dversnes,1997.0,,,Norway,fredrik-dversnes
1710,Manabu  Ishibashi,1992.0,68.0,177.0,Japan,manabu-ishibashi
1711,Jean-Claude  Bagot,1958.0,,,France,jean-claude-bagot
1712,Olav  Kooij,2001.0,72.0,184.0,Netherlands,olav-kooij
1713,Kamil  Gradek,1990.0,81.0,194.0,Poland,kamil-gradek
1714,Álvaro  González de Galdeano,1970.0,,,Spain,alvaro-gonzalez
1715,Patrick  Gretsch,1987.0,69.0,187.0,Germany,patrick-gretsch
1716,Sergio  Barbero,1969.0,,,Italy,sergio-barbero
1717,Steve  Chainel,1983.0,69.0,180.0,France,steve-chainel
1718,Tanner  Putt,1992.0,75.0,178.0,United States,tanner-putt
1719,Keith  Lambert,1947.0,,,Great Britain,keith-lambert
1720,Désiré  Letort,1943.0,,,France,desire-letort
1721,Zdeněk  Štybar,1985.0,68.0,183.0,Czech Republic,zdenek-stybar
1722,Franco  Pica,1961.0,,,Italy,franco-pica
1723,Romain  Cardis,1992.0,72.0,181.0,France,romain-cardis
1724,Joni  Brandão,1989.0,64.0,176.0,Portugal,joni-brandao
1725,Jose  Santos,1973.0,,,Portugal,jose-santos
1726,Sacha  Modolo,1987.0,67.0,180.0,Italy,sacha-modolo
1727,Hugh  Carthy,1994.0,69.0,191.0,Great Britain,hugh-carthy
1728,Samuele  Conti,1991.0,68.0,187.0,Italy,samuele-conti
1729,Gaëtan  Bille,1988.0,67.0,182.0,Belgium,gaetan-bille
1730,Zbigniew  Ludwiniak,1963.0,,,Poland,zbigniew-ludwiniak
1731,Félix Rafael  Cárdenas,1972.0,59.0,167.0,Colombia,felix-rafael-cardenas
1732,Henk  Vogels,1973.0,75.0,183.0,Australia,henk-vogels
1733,Juan Mauricio  Soler,1983.0,70.0,190.0,Colombia,juan-mauricio-soler-hernandez
1734,Sébastien  Duret,1980.0,62.0,177.0,France,sebastien-duret
1735,Michael  Schlickau,1969.0,,,Germany,michael-schlickau
1736,Hector Orlando  Mesa,1976.0,,,Colombia,hector-orlando-mesa-mesa
1737,Hossein  Askari,1975.0,73.0,179.0,Iran,hossein-askari
1738,Alfonso Dal Pian,1957.0,,,Italy,alfonso-dal-pian
1739,Antonio  Nibali,1992.0,65.0,180.0,Italy,antonio-nibali
1740,Jan  Serpenti,1945.0,,,Netherlands,jan-serpenti
1741,Alessandro  Bazzana,1984.0,63.5,180.0,Italy,alessandro-bazzana
1742,Vicente  López,1942.0,,,Spain,vicente-lopez-carril
1743,Mekseb  Debesay,1991.0,64.0,182.0,Eritrea,mekseb-debesay
1744,Josef  Lontscharitsch,1970.0,70.0,180.0,Austria,josef-lontscharitsch
1745,Roman  Kreuziger,1965.0,,,Czech Republic,roman-kreuziger-sr
1746,Michele  Merlo,1984.0,63.0,175.0,Italy,michele-merlo
1747,Paulo  Barroso,1972.0,,,Portugal,paulo-barroso
1748,Martial  Gayant,1962.0,69.0,183.0,France,martial-gayant
1749,Cees  Bol,1995.0,83.0,194.0,Netherlands,cees-bol
1750,Michael  Vink,1991.0,73.0,190.0,New Zealand,michael-vink
1751,Nicki  Sørensen,1975.0,71.0,182.0,Denmark,nicki-sorensen
1752,Benny  Ceulen,1951.0,,,Netherlands,benny-ceulen
1753,Gerard  Veldscholten,1959.0,,,Netherlands,gerard-veldscholten
1754,Attilio  Rota,1945.0,,,Italy,attilio-rota
1755,Tanguy  Turgis,1998.0,61.0,171.0,France,tanguy-turgis
1756,Didier  Lebaud,1954.0,,,France,didier-lebaud
1757,Cameron  Scott,1998.0,80.0,183.0,Australia,cameron-scott
1758,Léo  Wellens,1959.0,,,Belgium,leo-wellens
1759,Eric  Vanderaerden,1962.0,74.0,182.0,Belgium,eric-vanderaerden
1760,Francisco  Cabello,1969.0,72.0,174.0,Spain,francisco-cabello
1761,Ilan Van Wilder,2000.0,64.0,171.0,Belgium,ilan-van-wilder
1762,Michał  Podlaski,1988.0,68.0,178.0,Poland,michal-podlaski
1763,Jorge  Arcas,1992.0,68.0,187.0,Spain,jorge-arcas
1764,Tomas Aurelio  Gil Martinez,1977.0,60.0,165.0,Venezuela,tomas-aurelio-gil-martinez
1765,Marc  Gomez,1954.0,,,France,marc-gomez
1766,David de la Fuente,1981.0,67.0,175.0,Spain,david-de-la-fuente
1767,Yuri  Trofimov,1984.0,59.0,169.0,Russia,yuri-trofimov
1768,Manuel  Beltrán,1971.0,60.0,178.0,Spain,manuel-beltran
1769,Anthony  Rokia,1972.0,,,France,anthony-rokia
1770,Stephen  Williams,1996.0,59.0,183.0,Great Britain,stephen-williams
1771,Roger  Kluge,1986.0,83.0,192.0,Germany,roger-kluge
1772,Marcel  Wüst,1967.0,,,Germany,marcel-wust
1773,Cédric  Fragniere,1976.0,,,Switzerland,cedric-fragniere
1774,Daniel  Lloyd,1980.0,70.0,187.0,Great Britain,daniel-lloyd1
1775,Steven Van Malderghem,1977.0,,,Belgium,steven-van-malderghem
1776,Isidro  Juarez,1956.0,,,Spain,isidro-juarez
1777,Niki  Rüttimann,1962.0,,,Switzerland,niki-ruttimann
1778,Manuel  Calvente,1976.0,55.0,168.0,Spain,manuel-calvente-corbas
1779,Rene  Foucachon,1966.0,,,France,rene-foucachon
1780,Eduardo  Gonzalo,1983.0,66.0,177.0,Spain,eduardo-ramirez-gonzalo
1781,José Luis  Viejo,1949.0,64.0,165.0,Spain,jose-luis-viejo
1782,José Luis  Abilleira,1947.0,,,Spain,jose-luis-abilleira
1783,José Luis  Pacheco,1948.0,,,Portugal,jose-luis-pacheco
1784,Aleksejs  Saramotins,1982.0,75.0,185.0,Latvia,aleksejs-saramotins
1785,Mikel  Zarrabeitia,1970.0,63.0,179.0,Spain,mikel-zarrabeitia
1786,Willy Van Malderghem,1949.0,,,Belgium,willy-van-malderghem
1787,Joey  Rosskopf,1989.0,74.0,186.0,United States,joey-rosskopf
1788,Eduardo  Correia,1961.0,,,Portugal,eduardo-correia
1789,Bernard  Deville,1942.0,,,Belgium,bernard-deville
1790,Olaf  Pollack,1973.0,77.0,185.0,Germany,olaf-pollack
1791,Delmino  Pereira,1967.0,,,Portugal,delmino-pereira
1792,Uwe  Peschel,1968.0,72.0,179.0,Germany,uwe-peschel
1793,Daisuke  Imanaka,1963.0,,,Japan,daisuke-imanaka
1794,Robin  Stenuit,1990.0,77.0,185.0,Belgium,robin-stenuit
1795,Jan  Christen,2004.0,60.0,183.0,Switzerland,jan-christen
1796,Dominique  Arnould,1966.0,,,France,dominique-arnould
1797,Alexandre  Vinokourov,1973.0,68.0,177.0,Kazakhstan,alexandre-vinokourov
1798,Tom  Cordes,1966.0,70.0,179.0,Netherlands,tom-cordes
1799,Yaroslav  Popovych,1980.0,64.0,175.0,Ukraine,yaroslav-popovych
1800,Rudi  Altig,1937.0,,,Germany,rudi-altig
1801,Ernesto  Manchon,1972.0,,,Spain,ernesto-manchon
1802,Gijs Van Hoecke,1991.0,78.0,186.0,Belgium,gijs-van-hoecke
1803,Rick  Flens,1983.0,82.0,187.0,Netherlands,rick-flens
1804,Egan  Bernal,1997.0,60.0,175.0,Colombia,egan-bernal
1805,Matteo Di Serafino,1986.0,,,Italy,matteo-di-serafino
1806,Eduardo  González,1960.0,,,Spain,eduardo-gonzalez
1807,Christian  Murro,1978.0,,,Italy,christian-murro
1808,Harry  Lodge,1967.0,,,Great Britain,harry-lodge
1809,Joan Marti  Bennassar,1999.0,75.0,190.0,Spain,joan-marti-bennassar
1810,Faustino  Rupérez,1956.0,,,Spain,faustino-ruperez
1811,Jacques van der Poel,1963.0,,,Netherlands,jacques-van-der-poel
1812,Michael  Barry,1975.0,72.0,189.0,Canada,michael-barry
1813,Alfred  Gaida,1951.0,65.0,169.0,Germany,alfred-gaida
1814,Emile  Cambré,1948.0,,,Belgium,emile-cambre
1815,Peter Van Brecht,1965.0,,,Belgium,peter-van-brecht
1816,Alberto  Fernández de la Puebla,1984.0,63.0,174.0,Spain,alberto-fernandez-de-la-puebla-ramos
1817,Javier  Claramunt,1968.0,,,Spain,javier-claramunt
1818,Alfons De Bal,1943.0,,155.0,Belgium,alfons-de-bal
1819,Timothy  Roe,1989.0,66.0,183.0,Australia,timothy-roe
1820,Cristian  Moreni,1972.0,65.0,175.0,Italy,cristian-moreni
1821,Matthew  Busche,1985.0,69.0,174.0,United States,matthew-busche
1822,Miguel Ángel  Martinez,1961.0,,,Spain,miguel-angel-martinez
1823,Daniel  Atienza,1974.0,60.0,170.0,Spain,daniel-atienza-urendez
1824,Michael  Giebelmann,1974.0,,,Germany,michael-giebelmann
1825,Frans Van Looy,1950.0,75.0,179.0,Belgium,frans-van-looy
1826,Antton  Luengo,1981.0,,,Spain,anton-luengo
1827,Adam de Vos,1993.0,,187.0,Canada,adam-de-vos
1828,Ludo  Engelen,1957.0,,,Belgium,ludo-engelen
1829,Xavier  Aldanondo,1967.0,,,Spain,xavier-aldanondo
1830,José Angel  Vidal,1969.0,71.0,172.0,Spain,jose-angel-vidal
1831,Jean-Pierre  Baert,1951.0,,,Belgium,jean-pierre-baert
1832,Remo  Rossi,1968.0,,,Italy,remo-rossi
1833,Stefano  Gandin,1996.0,69.0,185.0,Italy,stefano-gandin
1834,Ezequiel  Mosquera,1975.0,65.0,177.0,Spain,ezequiel-mosquera-miguez
1835,Patrice  Halgand,1974.0,67.0,179.0,France,patrice-halgand
1836,Bas  Giling,1982.0,72.0,185.0,Netherlands,bas-giling
1837,Rik  Verbrugghe,1974.0,70.0,180.0,Belgium,rik-verbrugghe
1838,Matti  Breschel,1984.0,70.0,181.0,Denmark,matti-breschel
1839,Federico  Giabbecucci,1975.0,,,Italy,federico-giabbecucci
1840,Peter  Wrolich,1974.0,68.0,179.0,Austria,peter-wrolich
1841,Kilian  Patour,1982.0,,,France,kilian-patour
1842,Sean  Quinn,2000.0,67.0,187.0,United States,sean-quinn
1843,Marcello  Siboni,1965.0,,,Italy,marcello-siboni
1844,Carlos  Hernández,1958.0,,,Spain,carlos-hernandez
1845,Gustavo  César Veloso,1980.0,69.0,182.0,Spain,gustavo-cesar-veloso
1846,Carlos  Betancur,1989.0,60.0,167.0,Colombia,carlos-betancur
1847,Jordi  Warlop,1996.0,72.0,182.0,Belgium,jordi-warlop
1848,Brendan  Canty,1992.0,60.0,170.0,Australia,brendan-canty
1849,Dario David  Cioni,1974.0,72.0,185.0,Italy,dario-david-cioni
1850,Jacopo  Guarnieri,1987.0,80.0,190.0,Italy,jacopo-guarnieri
1851,Przemysław  Niemiec,1980.0,62.0,184.0,Poland,przemyslaw-niemiec
1852,Guido  Trenti,1972.0,68.0,180.0,United States,guido-trenti
1853,José Luis  Uribezubia,1945.0,,,Spain,jose-luis-uribezubia
1854,Erik  Pettersson,1944.0,67.0,180.0,Sweden,erik-pettersson
1855,Jean-Marc  Marino,1983.0,65.0,177.0,France,jean-marc-marino
1856,Marco  Franceschini,1960.0,,,Italy,marco-franceschini
1857,Georges  Barras,1949.0,,,Belgium,georges-barras
1858,Maximilian  Sciandri,1967.0,75.0,187.0,Great Britain,maximilian-sciandri
1859,Nicola  Miceli,1971.0,,,Italy,nicola-miceli
1860,Raffaele  Ferrara,1976.0,60.0,174.0,Italy,raffaele-ferrara
1861,Alexander  Evans,1997.0,63.0,184.0,Australia,alexander-evans
1862,Stéphane  Rossetto,1987.0,68.0,180.0,France,stephane-rossetto
1863,Maurizio  Nuzzi,1965.0,,,Italy,maurizio-nuzzi
1864,Alfredo  Irusta,1968.0,,,Spain,alfredo-irusta
1865,Jan Van Camp,1961.0,,,Belgium,jan-van-camp
1866,Daniel  Wyder,1962.0,,,Switzerland,daniel-wyder
1867,Nicolas  Portal,1979.0,70.0,184.0,France,nicolas-portal
1868,Jan  Huisjes,1951.0,,,Netherlands,jan-huisjes
1869,Fabio  Bulgarelli,1977.0,,,Italy,fabio-bulgarelli
1870,Jérôme  Chiotti,1972.0,,,France,jerome-chiotti
1871,Yanto  Barker,1980.0,,182.0,Great Britain,yanto-barker
1872,Ferdi Van Den Haute,1952.0,,,Belgium,ferdi-van-den-haute
1873,Martijn  Verschoor,1985.0,74.5,179.0,Netherlands,martijn-verschoor
1874,Lauri  Aus,1970.0,75.0,179.0,Estonia,lauri-aus
1875,Ezio  Moroni,1961.0,,,Italy,ezio-moroni
1876,Sergio  Marinangeli,1980.0,65.0,174.0,Italy,sergio-marinangeli
1877,Cameron  Meyer,1988.0,70.0,181.0,Australia,cameron-meyer
1878,Calvin  Watson,1993.0,72.0,192.0,Australia,calvin-watson
1879,Luis María  Díaz de Otazu,1966.0,,,Spain,luis-maria-diaz-de-otazu
1880,Sébastien  Joly,1979.0,74.0,180.0,France,sebastien-joly
1881,Francisco Tomás  García,1975.0,80.0,191.0,Spain,francisco-tomas-garcia-rodriguez
1882,Dominique  Lecrocq,1963.0,,,France,dominique-lecrocq
1883,Fabiano  Fontanelli,1965.0,68.0,175.0,Italy,fabiano-fontanelli
1884,Jonas  Vingegaard,1996.0,58.0,175.0,Denmark,jonas-vingegaard
1885,Dries De Pooter,2002.0,61.0,182.0,Belgium,dries-de-pooter
1886,Leszek  Pluciński,1990.0,59.0,175.0,Poland,leszek-plucinski
1887,Marc  Madiot,1959.0,68.0,179.0,France,marc-madiot
1888,Bram  Schmitz,1977.0,77.0,195.0,Netherlands,bram-schmitz
1889,Jos  Jacobs,1953.0,,,Belgium,jos-jacobs
1890,Piotr  Chmielewski,1970.0,72.0,187.0,Poland,piotr-chmielewski
1891,Jeanot  Deriemaecker,1971.0,,,Belgium,jeanot-deriemaecker
1892,Matthew  Wilson,1977.0,72.0,186.0,Australia,matthew-wilson
1893,Pello  Bilbao,1990.0,60.0,174.0,Spain,pello-bilbao
1894,Silvestro  Milani,1958.0,,,Italy,silvestro-milani
1895,Fortunato  Baliani,1974.0,66.0,178.0,Italy,fortunato-baliani
1896,Mickaël  Pichon,1973.0,62.0,174.0,France,mickael-pichon
1897,Dominique  Turcksin,1959.0,,,Belgium,dominique-turcksin
1898,Romain  Combaud,1991.0,63.0,175.0,France,romain-combaud
1899,Marc  Dierickx,1954.0,,,Belgium,marc-dierickx
1900,Vincent  Barteau,1962.0,,,France,vincent-barteau
1901,Pedro Manuel Rodrigues  Silva,1966.0,,,Portugal,pedro-manuel-rodrigues-silva
1902,Leith  Sherwin,1972.0,,,Australia,leith-sherwin
1903,Philippe  Deleye,1962.0,,,Belgium,philippe-deleye
1904,Gino  Mäder,1997.0,61.0,181.0,Switzerland,gino-mader
1905,Igor  Merino,1990.0,,,Spain,igor-merino
1906,Antoine  Gutierrez,1953.0,,,France,antoine-guttierrez
1907,Walter  Schoonjans,1956.0,,,Belgium,walter-schoonjans
1908,Manuel Jorge  Domínguez,1962.0,67.0,173.0,Spain,manuel-jorge-dominguez
1909,Fabrizio  Convalle,1965.0,,,Italy,fabrizio-convalle
1910,Roberto  Ballini,1944.0,,,Italy,roberto-ballini
1911,Fred  Rodriguez,1973.0,68.0,178.0,United States,fred-rodriguez
1912,Bernardo  Alfonsel,1954.0,,,Spain,bernardo-alfonsel
1913,Jos Van De Poel,1954.0,,,Belgium,jos-van-de-poel
1914,Michel  Laurent,1953.0,,,France,michel-laurent
1915,Rick  Pluimers,2000.0,67.0,180.0,Netherlands,rick-pluimers
1916,Anton  Vorobyev,1990.0,74.0,180.0,Russia,anton-vorobyev
1917,Jacques  Bossis,1952.0,,,France,jacques-bossis
1918,Samuel  Spokes,1992.0,63.0,181.0,Australia,samuel-spokes
1919,Sergio  Jaramillo,1958.0,,,Colombia,sergio-jaramillo
1920,Camilo  Santos,1964.0,,,Spain,camilo-santos
1921,Ronan De Meyer,1953.0,,,Belgium,ronan-de-meyer
1922,Óscar de Jesús  Vargas,1964.0,,,Colombia,oscar-de-jesus-vargas-restrepo
1923,Heberth  Gutiérrez García,1973.0,,,Colombia,heberth-gutierrez-garcia
1924,Bruno  Wojtinek,1963.0,,,France,bruno-wojtinek
1925,José Luis  Villanueva,1965.0,,,Spain,jose-luis-villanueva
1926,Charles  Jochums,1957.0,,,Belgium,charles-jochums
1927,André  Meuwissen,1962.0,,,Belgium,andre-meuwissen
1928,Thomas  Dekker,1984.0,69.0,188.0,Netherlands,thomas-dekker
1929,Pieter  Vries,1975.0,,,Netherlands,pieter-vries
1930,Viktor  Klimov,1964.0,,,Ukraine,viktor-klimov
1931,Ludovic  Martin,1976.0,,,France,ludovic-martin
1932,Ricardo  Valdés,1976.0,60.0,177.0,Spain,ricardo-valdes
1933,Emile  Bodart,1942.0,,,Belgium,emile-bodart
1934,Eleuterio  Anguita,1969.0,,,Spain,eleuterio-anguita
1935,Gabriele  Missaglia,1970.0,,,Italy,gabriele-missaglia
1936,Davide  Casarotto,1971.0,74.0,180.0,Italy,davide-casarotto
1937,Gabriele  Bosisio,1980.0,,,Italy,gabriele-bosisio
1938,Harold  Tejada,1997.0,63.0,180.0,Colombia,harold-tejada
1939,Kévin Van Melsen,1987.0,77.0,185.0,Belgium,kevin-van-melsen
1940,Hugh  Porter,1940.0,,,Great Britain,hugh-porter
1941,Txema del Olmo,1973.0,,,Spain,txema-del-olmo-zendegi
1942,Antonio  Balboa,1964.0,66.0,172.0,Spain,antonio-balboa
1943,Julius  Johansen,1999.0,77.0,188.0,Denmark,julius-johansen
1944,Unai Emillio  Yus,1974.0,,,Spain,unai-emillio-yus
1945,Stefano  Zanini,1969.0,80.0,181.0,Italy,stefano-zanini
1946,Fredrik  Kessiakoff,1980.0,61.0,175.0,Sweden,fredrik-kessiakoff
1947,Fernando  Gaviria,1994.0,71.0,181.0,Colombia,fernando-gaviria
1948,Edwig Van Hooydonck,1966.0,,,Belgium,edwig-van-hooydonck
1949,Dominique  Perras,1974.0,,,Canada,dominique-perras
1950,Kenneth  Vanbilsen,1990.0,73.0,184.0,Belgium,kenneth-van-bilsen
1951,Riccardo  Lucca,1997.0,74.0,184.0,Italy,riccardo-lucca
1952,Sergio  Perez,1978.0,,,Spain,gomez-perez
1953,Walter  Riccomi,1950.0,66.0,169.0,Italy,walter-riccomi
1954,Ronny De Cnodder,1958.0,,,Belgium,ronny-de-cnodder
1955,Natnael  Tesfatsion,1999.0,60.0,175.0,Eritrea,natnael-tesfatsion
1956,Erich  Mächler,1960.0,,,Switzerland,erich-machler
1957,Frédéric  Bessy,1972.0,65.0,176.0,France,frederic-bessy
1958,Christophe  Kern,1981.0,72.0,185.0,France,christophe-kern
1959,Luca  Pierfelici,1983.0,,,Italy,luca-pierfelici
1960,Roger  Hammond,1974.0,71.0,174.0,Great Britain,roger-hammond
1961,Aaron Van Poucke,1998.0,68.0,177.0,Belgium,aaron-van-poucke
1962,Luke  Rowe,1990.0,72.0,185.0,Great Britain,luke-rowe
1963,Francisco Javier  Ochaita,1965.0,,,Spain,francisco-javier-ochaita
1964,Jorge Camilo  Castiblanco,1987.0,,,Colombia,camilo-jorge-castiblanco
1965,Patrick  Perret,1953.0,,,France,patrick-perret
1966,Alberto  López de Munain,1972.0,65.0,179.0,Spain,alberto-lopez-de-munain
1967,Leonardo  Bevilacqua,1956.0,,,Italy,leonardo-bevilacqua
1968,Ruben  Galvañ,1974.0,,,Spain,ruben-galvan
1969,Erwin  Lienhard,1957.0,,,Switzerland,erwin-lienhard
1970,Arthur  Vanoverberghe,1990.0,65.0,181.0,Belgium,arthur-vanoverberghe
1971,Manuele  Spadi,1981.0,,,Italy,manuele-spadi
1972,Aldo  Moser,1934.0,,,Italy,aldo-moser
1973,Kai  Reus,1985.0,70.0,185.0,Netherlands,kai-reus
1974,Aldo  Parecchini,1950.0,71.0,173.0,Italy,aldo-parecchini
1975,Rasmus Byriel  Iversen,1997.0,77.0,190.0,Denmark,rasmus-byriel-iversen
1976,Patrick  Bevin,1991.0,75.0,180.0,New Zealand,patrick-bevin
1977,Stefano  Casagrande,1962.0,,,Italy,stefano-casagrande
1978,Enzo  Mattioda,1946.0,,,France,enzo-mattioda
1979,Fabien De Waele,1975.0,62.0,175.0,Belgium,fabien-de-waele
1980,David  Rayner,1967.0,,,Great Britain,david-rayner
1981,Tom  Desmet,1969.0,,,Belgium,tom-desmet
1982,Callum  Scotson,1996.0,77.0,183.0,Australia,callum-scotson
1983,Julien  Morice,1991.0,81.0,192.0,France,julien-morice
1984,Marco  Vergnani,1969.0,,,Italy,marco-vergnani
1985,Marnix  Cappelle,1969.0,,,Belgium,marnix-cappelle
1986,Rafael  Casero,1976.0,74.0,183.0,Spain,rafael-casero-moreno
1987,Jacek  Morajko,1981.0,65.0,180.0,Poland,jacek-morajko
1988,Vegard  Breen,1990.0,74.0,187.0,Norway,vegard-breen
1989,Diego  Ferrari,1970.0,74.0,182.0,Italy,diego-ferrari
1990,Óscar  Freire,1976.0,63.0,171.0,Spain,oscar-freire
1991,Paolo  Ciavatta,1984.0,,,Italy,paolo-ciavatta
1992,Robert  D'Hondt,1962.0,,,Belgium,robert-d-hondt
1993,Sander De Pestel,1998.0,74.0,184.0,Belgium,sander-de-pestel
